Start: 2023-07-11 16:55:23, End: 2023-07-11 17:00:27, Duration: 0:05:04.174773, Max Elevation: 72.02 degrees
Start: 2023-07-12 05:55:23, End: 2023-07-12 06:00:27, Duration: 0:05:04.106458, Max Elevation: 71.85 degrees
Start: 2023-07-12 16:41:32, End: 2023-07-12 16:46:38, Duration: 0:05:06.117390, Max Elevation: 81.79 degrees
Start: 2023-07-13 05:41:39, End: 2023-07-13 05:46:27, Duration: 0:04:47.717691, Max Elevation: 50.70 degrees
Start: 2023-07-13 16:27:48, End: 2023-07-13 16:32:43, Duration: 0:04:54.777319, Max Elevation: 58.45 degrees
Start: 2023-07-14 05:28:03, End: 2023-07-14 05:32:16, Duration: 0:04:13.496956, Max Elevation: 36.36 degrees
Start: 2023-07-14 07:02:44, End: 2023-07-14 07:05:35, Duration: 0:02:50.722711, Max Elevation: 25.16 degrees
Start: 2023-07-14 16:14:12, End: 2023-07-14 16:18:42, Duration: 0:04:29.379388, Max Elevation: 42.11 degrees
Start: 2023-07-14 17:50:02, End: 2023-07-14 17:51:30, Duration: 0:01:28.235651, Max Elevation: 21.13 degrees
Start: 2023-07-15 05:14:37, End: 2023-07-15 05:17:49, Duration: 0:03:11.803143, Max Elevation: 26.75 degrees
Start: 2023-07-15 06:48:26, End: 2023-07-15 06:52:22, Duration: 0:03:56.713864, Max Elevation: 33.12 degrees
Start: 2023-07-15 16:00:47, End: 2023-07-15 16:04:33, Duration: 0:03:46.032127, Max Elevation: 31.30 degrees
Start: 2023-07-15 17:35:05, End: 2023-07-15 17:38:32, Duration: 0:03:27.147096, Max Elevation: 28.36 degrees
Start: 2023-07-16 06:34:18, End: 2023-07-16 06:38:54, Duration: 0:04:35.790659, Max Elevation: 44.84 degrees
Start: 2023-07-16 15:47:38, End: 2023-07-16 15:50:10, Duration: 0:02:31.296464, Max Elevation: 23.87 degrees
Start: 2023-07-16 17:20:41, End: 2023-07-16 17:25:03, Duration: 0:04:21.874822, Max Elevation: 38.73 degrees
Start: 2023-07-17 06:20:17, End: 2023-07-17 06:25:16, Duration: 0:04:58.340486, Max Elevation: 62.56 degrees
Start: 2023-07-17 17:06:31, End: 2023-07-17 17:11:23, Duration: 0:04:52.073210, Max Elevation: 54.32 degrees
Start: 2023-07-18 06:06:22, End: 2023-07-18 06:11:28, Duration: 0:05:06.801716, Max Elevation: 87.11 degrees
Start: 2023-07-18 16:52:30, End: 2023-07-18 16:57:35, Duration: 0:05:05.253464, Max Elevation: 76.96 degrees
Start: 2023-07-19 05:52:30, End: 2023-07-19 05:57:33, Duration: 0:05:02.112866, Max Elevation: 67.10 degrees
Start: 2023-07-19 16:38:37, End: 2023-07-19 16:43:42, Duration: 0:05:04.883802, Max Elevation: 76.63 degrees
Start: 2023-07-20 05:38:45, End: 2023-07-20 05:43:27, Duration: 0:04:42.387887, Max Elevation: 47.31 degrees
Start: 2023-07-20 16:24:52, End: 2023-07-20 16:29:43, Duration: 0:04:50.746160, Max Elevation: 54.55 degrees
Start: 2023-07-21 05:25:06, End: 2023-07-21 05:29:10, Duration: 0:04:03.843698, Max Elevation: 34.08 degrees
Start: 2023-07-21 06:59:37, End: 2023-07-21 07:02:44, Duration: 0:03:07.684960, Max Elevation: 26.58 degrees
