Start: 2023-08-28 18:13:15, End: 2023-08-28 18:17:55, Duration: 0:04:40.046680, Max Elevation: 47.04 degrees
Start: 2023-08-29 07:19:49, End: 2023-08-29 07:23:29, Duration: 0:03:40.554587, Max Elevation: 30.61 degrees
Start: 2023-08-29 17:58:51, End: 2023-08-29 18:03:54, Duration: 0:05:02.842976, Max Elevation: 74.03 degrees
Start: 2023-08-30 07:05:13, End: 2023-08-30 07:09:49, Duration: 0:04:36.148250, Max Elevation: 45.74 degrees
Start: 2023-08-30 17:44:40, End: 2023-08-30 17:49:42, Duration: 0:05:01.579776, Max Elevation: 71.78 degrees
Start: 2023-08-31 06:50:50, End: 2023-08-31 06:55:51, Duration: 0:05:01.178008, Max Elevation: 71.38 degrees
Start: 2023-08-31 17:30:42, End: 2023-08-31 17:35:19, Duration: 0:04:36.747764, Max Elevation: 45.99 degrees
Start: 2023-09-01 06:36:37, End: 2023-09-01 06:41:40, Duration: 0:05:02.801777, Max Elevation: 74.41 degrees
Start: 2023-09-01 17:17:01, End: 2023-09-01 17:20:42, Duration: 0:03:41.477817, Max Elevation: 30.74 degrees
Start: 2023-09-02 06:22:34, End: 2023-09-02 06:27:14, Duration: 0:04:40.165529, Max Elevation: 47.22 degrees
Start: 2023-09-02 17:03:56, End: 2023-09-02 17:05:31, Duration: 0:01:34.757000, Max Elevation: 21.38 degrees
Start: 2023-09-02 18:37:22, End: 2023-09-02 18:40:01, Duration: 0:02:38.544021, Max Elevation: 24.23 degrees
Start: 2023-09-03 06:08:45, End: 2023-09-03 06:12:30, Duration: 0:03:45.009763, Max Elevation: 31.00 degrees
Start: 2023-09-03 18:22:19, End: 2023-09-03 18:26:29, Duration: 0:04:10.236381, Max Elevation: 35.95 degrees
Start: 2023-09-04 05:55:36, End: 2023-09-04 05:57:02, Duration: 0:01:25.892513, Max Elevation: 21.09 degrees
Start: 2023-09-04 07:29:02, End: 2023-09-04 07:31:40, Duration: 0:02:37.780033, Max Elevation: 24.31 degrees
Start: 2023-09-04 18:07:42, End: 2023-09-04 18:12:33, Duration: 0:04:51.717629, Max Elevation: 55.70 degrees
Start: 2023-09-05 07:14:09, End: 2023-09-05 07:18:15, Duration: 0:04:05.897882, Max Elevation: 35.39 degrees
Start: 2023-09-05 17:53:19, End: 2023-09-05 17:58:25, Duration: 0:05:05.173722, Max Elevation: 87.00 degrees
Start: 2023-09-06 06:59:35, End: 2023-09-06 07:04:24, Duration: 0:04:48.426036, Max Elevation: 54.01 degrees
Start: 2023-09-06 17:39:10, End: 2023-09-06 17:44:05, Duration: 0:04:55.096609, Max Elevation: 60.44 degrees
Start: 2023-09-07 06:45:13, End: 2023-09-07 06:50:18, Duration: 0:05:04.441358, Max Elevation: 84.26 degrees
Start: 2023-09-07 17:25:15, End: 2023-09-07 17:29:35, Duration: 0:04:19.797666, Max Elevation: 39.13 degrees
Start: 2023-09-08 06:31:01, End: 2023-09-08 06:35:58, Duration: 0:04:56.851216, Max Elevation: 62.36 degrees
Start: 2023-09-08 17:11:40, End: 2023-09-08 17:14:47, Duration: 0:03:06.941653, Max Elevation: 26.60 degrees
Start: 2023-09-09 06:17:00, End: 2023-09-09 06:21:23, Duration: 0:04:23.034582, Max Elevation: 39.80 degrees
Start: 2023-09-09 18:31:14, End: 2023-09-09 18:34:38, Duration: 0:03:24.115691, Max Elevation: 28.19 degrees
