Start: 2008-02-03 22:28:22, End: 2008-02-03 22:33:17, Duration: 0:04:54.117777, Max Elevation: 87.48 degrees
Start: 2008-02-04 09:08:03, End: 2008-02-04 09:12:47, Duration: 0:04:43.900290, Max Elevation: 59.69 degrees
Start: 2008-02-04 22:05:36, End: 2008-02-04 22:10:05, Duration: 0:04:28.368048, Max Elevation: 45.91 degrees
Start: 2008-02-05 08:45:41, End: 2008-02-05 08:49:26, Duration: 0:03:45.253053, Max Elevation: 32.71 degrees
Start: 2008-02-05 21:43:23, End: 2008-02-05 21:46:14, Duration: 0:02:50.407203, Max Elevation: 25.50 degrees
Start: 2008-02-05 23:16:50, End: 2008-02-05 23:19:45, Duration: 0:02:55.223913, Max Elevation: 26.07 degrees
Start: 2008-02-06 09:56:08, End: 2008-02-06 10:00:07, Duration: 0:03:59.030286, Max Elevation: 35.23 degrees
Start: 2008-02-06 22:53:17, End: 2008-02-06 22:57:43, Duration: 0:04:25.980935, Max Elevation: 45.43 degrees
Start: 2008-02-07 09:32:45, End: 2008-02-07 09:37:34, Duration: 0:04:49.351438, Max Elevation: 66.61 degrees
Start: 2008-02-07 22:30:13, End: 2008-02-07 22:35:07, Duration: 0:04:54.134795, Max Elevation: 85.40 degrees
Start: 2008-02-08 09:09:54, End: 2008-02-08 09:14:42, Duration: 0:04:47.895481, Max Elevation: 65.47 degrees
Start: 2008-02-08 22:07:30, End: 2008-02-08 22:12:05, Duration: 0:04:35.540167, Max Elevation: 50.40 degrees
Start: 2008-02-09 08:47:32, End: 2008-02-09 08:51:31, Duration: 0:03:58.282634, Max Elevation: 35.49 degrees
Start: 2008-02-09 21:45:15, End: 2008-02-09 21:48:28, Duration: 0:03:13.414683, Max Elevation: 27.70 degrees
Start: 2008-02-09 23:19:03, End: 2008-02-09 23:21:35, Duration: 0:02:31.096102, Max Elevation: 24.19 degrees
Start: 2008-02-10 08:26:08, End: 2008-02-10 08:27:33, Duration: 0:01:24.936574, Max Elevation: 21.17 degrees
Start: 2008-02-10 09:58:20, End: 2008-02-10 10:02:06, Duration: 0:03:45.233701, Max Elevation: 32.27 degrees
Start: 2008-02-10 22:55:29, End: 2008-02-10 22:59:46, Duration: 0:04:17.232240, Max Elevation: 41.45 degrees
Start: 2008-02-11 09:34:58, End: 2008-02-11 09:39:43, Duration: 0:04:45.595997, Max Elevation: 60.13 degrees
Start: 2008-02-11 22:32:27, End: 2008-02-11 22:37:20, Duration: 0:04:52.903742, Max Elevation: 77.63 degrees
Start: 2008-02-12 09:12:08, End: 2008-02-12 09:16:59, Duration: 0:04:51.331633, Max Elevation: 72.55 degrees
Start: 2008-02-12 22:09:46, End: 2008-02-12 22:14:28, Duration: 0:04:42.188612, Max Elevation: 56.03 degrees
Start: 2008-02-13 08:49:47, End: 2008-02-13 08:53:57, Duration: 0:04:10.480396, Max Elevation: 38.97 degrees
Start: 2008-02-13 21:47:31, End: 2008-02-13 21:51:05, Duration: 0:03:34.170313, Max Elevation: 30.41 degrees
Start: 2008-02-13 23:21:44, End: 2008-02-13 23:23:41, Duration: 0:01:56.301884, Max Elevation: 22.29 degrees
Start: 2008-02-14 08:28:10, End: 2008-02-14 08:30:21, Duration: 0:02:10.927433, Max Elevation: 23.00 degrees
Start: 2008-02-14 10:00:58, End: 2008-02-14 10:04:25, Duration: 0:03:26.933297, Max Elevation: 29.35 degrees
Start: 2008-02-14 22:58:04, End: 2008-02-14 23:02:10, Duration: 0:04:05.951915, Max Elevation: 37.57 degrees
Start: 2008-02-15 09:37:34, End: 2008-02-15 09:42:14, Duration: 0:04:39.869977, Max Elevation: 53.70 degrees
Start: 2008-02-15 22:35:05, End: 2008-02-15 22:39:55, Duration: 0:04:50.228037, Max Elevation: 69.53 degrees
Start: 2008-02-16 09:14:45, End: 2008-02-16 09:19:39, Duration: 0:04:53.848175, Max Elevation: 80.98 degrees
Start: 2008-02-16 22:12:25, End: 2008-02-16 22:17:13, Duration: 0:04:47.752935, Max Elevation: 63.05 degrees
Start: 2008-02-17 08:52:24, End: 2008-02-17 08:56:46, Duration: 0:04:21.957541, Max Elevation: 43.34 degrees
Start: 2008-02-17 21:50:10, End: 2008-02-17 21:54:03, Duration: 0:03:52.954842, Max Elevation: 33.79 degrees
Start: 2008-02-18 08:30:41, End: 2008-02-18 08:33:27, Duration: 0:02:45.377418, Max Elevation: 25.23 degrees
Start: 2008-02-18 10:04:02, End: 2008-02-18 10:07:04, Duration: 0:03:02.020015, Max Elevation: 26.50 degrees
Start: 2008-02-18 23:01:04, End: 2008-02-18 23:04:55, Duration: 0:03:51.289552, Max Elevation: 33.85 degrees
Start: 2008-02-19 09:40:35, End: 2008-02-19 09:45:06, Duration: 0:04:31.683338, Max Elevation: 47.55 degrees
Start: 2008-02-19 22:38:05, End: 2008-02-19 22:42:51, Duration: 0:04:45.744336, Max Elevation: 61.49 degrees
Start: 2008-02-20 09:17:46, End: 2008-02-20 09:22:41, Duration: 0:04:54.791401, Max Elevation: 89.37 degrees
Start: 2008-02-20 22:15:28, End: 2008-02-20 22:20:20, Duration: 0:04:51.908012, Max Elevation: 71.64 degrees
Start: 2008-02-21 08:55:25, End: 2008-02-21 08:59:57, Duration: 0:04:32.352335, Max Elevation: 48.88 degrees
Start: 2008-02-21 21:53:12, End: 2008-02-21 21:57:22, Duration: 0:04:09.826607, Max Elevation: 38.03 degrees
Start: 2008-02-22 08:33:37, End: 2008-02-22 08:36:51, Duration: 0:03:13.910957, Max Elevation: 27.97 degrees
Start: 2008-02-22 10:07:34, End: 2008-02-22 10:10:01, Duration: 0:02:26.291220, Max Elevation: 23.76 degrees
Start: 2008-02-22 21:31:44, End: 2008-02-22 21:33:31, Duration: 0:01:46.798173, Max Elevation: 21.85 degrees
Start: 2008-02-22 23:04:28, End: 2008-02-22 23:08:00, Duration: 0:03:31.993137, Max Elevation: 30.35 degrees
Start: 2008-02-23 09:43:59, End: 2008-02-23 09:48:20, Duration: 0:04:20.406353, Max Elevation: 41.80 degrees
Start: 2008-02-23 22:41:29, End: 2008-02-23 22:46:08, Duration: 0:04:39.126991, Max Elevation: 53.84 degrees
Start: 2008-02-24 09:21:10, End: 2008-02-24 09:26:04, Duration: 0:04:54.055938, Max Elevation: 78.92 degrees
Start: 2008-02-24 22:18:53, End: 2008-02-24 22:23:48, Duration: 0:04:54.418198, Max Elevation: 81.84 degrees
Start: 2008-02-25 08:58:49, End: 2008-02-25 09:03:30, Duration: 0:04:41.338003, Max Elevation: 55.93 degrees
Start: 2008-02-25 21:56:38, End: 2008-02-25 22:01:02, Duration: 0:04:24.158214, Max Elevation: 43.42 degrees
